SKU,Parfum_Ismi,Koku_Ailesi,Ust_Nota,Kalp_Nota,Dip_Nota,Karakter
"W 109","BY GUCCI","Şipre & Meyveli & Karakterli","Sulu Armut, Egzotik Guava","Tiare Çiçeği (Tahiti Gardenyası)","Paçuli, Misk, Sıcak Bal","Ferahlık ve Enerji - Klasik / Minimalist"
"W 11","ESCAPE","Meyveli & Canlandırıcı & Canlı","Papatya, Elma, Lychee, Kişniş, Sümbül","Gül, Şeftali, Yasemin, Karanfil Çiçeği","Sandal Ağacı, Misk, Vetiver, Meşe Yosunu","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 110","RICCI RICCI","Şipre & Çiçeksi & İddialı","Ravent, Bergamot","Datura, Sümbülteber, Tentür Gül","Koyu Paçuli, Sandal Ağacı","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 111","ROSE THE ONE","Çiçeksi & Elegant & Romantik","Siyah Frenk Üzümü, Greyfurt, Mandalina","Pembe Gül, Zambak, Şakayık, Litchi","Vanilya, Misk, Kehribar","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 112","CHOCOLATE GIRL","Gurme & Tatlı & Eğlenceli","Sütlü Çikolata, Mandalina","Kakao Esansı, Kavrulmuş Fındık","Madagaskar Vanilyası, Misk","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 113","DELİNA","Çiçeksi & Taze & Odunsu","Litchi, Ravent, Bergamot, Hindistan Cevizi","Türk Gülü, Şakayık, Misk, Petalia, Vanilya","Kaşmeran, Sedir Ağacı, Haiti Vetiveri, Tütsü","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 114","TRESOR IN LOVE","Çiçeksi & Meyveli & Günlük","Nektarin, Armut, Pembe Biber, Bergamot","Taif Gülü, Şeftali, Menekşe, Yasemin","Virginia Sediri, Misk Akoru","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 115","CRYSTAL NOIR","Oryantal & Çiçeksi & Zengin","Karabiber, Zencefil, Kakule","Hindistan Cevizi, Gardenya, Şakayık","Sandal Ağacı, Misk, Mineral Kehribar","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 117","WISH OF LOVE","Çiçeksi & Meyveli & Hafif","Ekşi Kızılcık","Kiraz Çiçeği, Gül, Ortanca","Şeffaf Misk","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 118","LOVE OF PINK","Şipre & Meyveli & Genç","Kan Portakalı, Limon kabuğu, Çarkıfelek","Manolya, Stephanotis","Sedir, Misk, Vanilya","Otorite, Güven ve Profesyonellik - Klasik / Minimalist"
"W 119","PERCEIVE","Çiçeksi & Pudralı & Temiz","Beyaz Biber, Sarı Frezya","Armut, Şam Gülü, Gardenya, Erik","Sandal Ağacı, Misk, Vanilya Orkidesi","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 12","EROS WOMAN","Çiçeksi & Odunsu & Musk","Sicilya Limonu, Calabria Bergamotu, Nar","Yasemin Çiçeği, Sambac Yasemin, Şakayık","Sandal Ağacı, Ambroks, Misk, Odunsu Notalar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 120","PUR BLANKA","Pudralı & Çiçeksi & Ferah","Beyaz Frezya, Su Zambağı, Nane","Beyaz Gül, Beyaz Şakayık, Beyaz Akasya","Pudralı Misk, Sandal Ağacı, Kediotu","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 121","GUCCI GUILTY","Oryantal & Çiçeksi & Lüks","Pembe Biber, Mandalina, Bergamot","Leylak, Şeftali, Sardunya, Yasemin","Paçuli, Kehribar, Vanilya, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 122","FLORA BY GUCCI","Çiçeksi & Klasik & Elegant","Şakayık, Narenciye Kabuğu, Mandalina","Mayıs Gülü, Osmanthus","Sandal Ağacı, Paçuli, Pembe Biber","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 123","LOVE CHLOE","Pudralı & Çiçeksi & Elit","Afrika Portakal Çiçeği, Pembe Biber","Süsen (Iris), Sümbül, Heliotrope, Leylak","Pudralı Notalar, Pirinç Unu Akoru, Misk","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 124","MON PARİS","Şipre & Meyveli & Tatlı","Çilek, Ahududu, Armut, Portakal, Mandalina, Bergamot","Şakayık, Yasemin, Portakal Çiçeği","Endonezya Paçulisi, Beyaz Misk, Amber, Sedir Ağacı","Ferahlık ve Enerji - Klasik / Minimalist"
"W 125","JASMINS MARZIPANE","Çiçeksi & Gurme & Odunsu","Yasemin Sambac, Badem","Yasemin Grandiflorum, Odunsu Notalar","Misk, Vanilya, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 126","THE ONE","Oryantal & Çiçeksi & Elegant","Ballı Şeftali, Litchi, Mandalina, Bergamot","Beyaz Lilyum, Erik, Yasemin","Vanilya, Kehribar, Misk, Vetiver","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 127","PRADA CANDY","Gurme & Lüks & Tatlı","Yoğun Karamel","Pudralı Misk Akorları, Talk","Siam Benzoin, Madagaskar Vanilyası","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 128","BLACK ORCHID","Oryantal & Şipre & Karizmatik","Siyah Trüf Mantarı, Ylang-Ylang, Kuşüzümü","Siyah Orkide, Baharatlı Notalar","Paçuli, Sandal Ağacı, Vanilya, Çikolata","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 129","DYLAN BLUE POUR FEMME","Çiçeksi & Meyveli & Odunsu","Siyah Frenk Üzümü, Granny Smith Elma, Yonca, Unutma Beni Çiçeği","Şeftali, Gül, Petalia, Yasemin","Misk, Beyaz Odunlar, Styrax, Paçuli","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 13","ARMANI SHE","Oryantal & Tozlu & Yumuşak","Armut, Kireç, Mandalina, Bergamot","Helyotrop, Kardamom, Yasemin, Süsen","Virginia Sediri, Misk, Kehribar, DPG Bazı","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 130","VANITAS","Çiçeksi & Temiz & Net","Akdeniz Kireç (Lime) Notası","Tiare Çiçeği, İtalyan Frezyası","Virginia Sediri, Tonka Fasulyesi","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 132","BELLE D'OPIUM","Oryantal & Çiçeksi & Gece","Beyaz Çiçekler, Casablanca Lilyumu","Tütsü, Tütün Yaprağı, Karabiber","Paçuli, Kehribar, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 133","DIESEL LOVERDOSE","Gurme & Oryantal & Afrodizyak","Yıldız Anason, Mandalina","Meyan Kökü, Yasemin, Gardenya","Vanilya, Kehribar, Odunsu Notalar","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 134","PIEN SEXY CANDY","Gurme & Tatlı & Flörtöz","Pralin, Şekerli","Akışkan Karamel","Madagaskar Vanilyası, Beyaz Misk","Otorite, Güven ve Profesyonellik - Klasik / Minimalist"
"W 135","ROBERTO CAVALLI","Oryantal & Çiçeksi & İddialı","Pembe Biber","Afrika Portakal Çiçeği","Tonka Fasulyesi, Benzoin, Vanilya","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 136","FLOVER BOMB","Oryantal & Çiçeksi & Patlayıcı","Yeşil Çay, Bergamot, Osmanthus","Orkide, Yasemin, Gül, Frezya","Küresel Paçuli, Misk, Vanilya","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 137","JIMMY CHOO","Şipre & Meyveli & Şehirli","Armut, Mandalina, Yeşil","Kaplan Orkidesi","Toffee (Karamela), Endonezya Paçulisi","Ferahlık ve Enerji - Klasik / Minimalist"
"W 138","BELLISIMA","Çiçeksi & Canlandırıcı & Ferah","Zencefil, Greyfurt, Portakal, Kan Portakalı","Şakayık, Çarkıfelek Çiçeği","Misk, Sandal Ağacı, Kaşmir Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 139","FLEUR NARCOTIQUE","Çiçeksi & Meyveli & Ferah","Litchi, Bergamot, Şeftali","Şakayık, Portakal Çiçeği, Yasemin, Petalia","Misk, Meşe Yosunu, Odunsu Notalar","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 14","JIL SANDER SUN","Oryantal & Sıcak & Yazlık","Turunçgiller, Gül Ağacı, Portakal Çiçeği","Günebakan (Heliotrope), Gül, Vadideki Zambak","Yoğun Vanilya, Tonka Fasulyesi, Sandalwood","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 140","BELIEVE","Çiçeksi & Meyveli & Günlük","Egzotik Guava, Yeşil Mandalina","Hanımeli, Linden Çiçeği","Paçuli, Kehribar, Pralin","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 141","BY NIGHT","Oryantal & Çiçeksi & Gece","Kırmızı Elma, Ahududu, Frezya","Şeftali Çiçeği, Heliotrope","Vanilya, Kehribar, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 143","DREAM ANGELS HEAVENLY","Pudralı & Misk & İpeksi","Sarmaşık, Kakule, Mandalina","İris, Menekşe, Beyaz Zambak","Beyaz Misk, Sandal Ağacı, Vanilya Orkidesi","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 144","PURE SEDUCTION","Meyveli & Tatlı & Dinamik","Kırmızı Erik","Kırmızı Frezya, Yeşil Notalar","Sulu Kavun, Misk","Ferahlık ve Enerji - Klasik / Minimalist"
"W 146","OUD BOUQUET","Oryantal & Odunsu & Ud","Safran, Gül","Ud Ağacı, Karamel","Vanilya, Pralin, Copahu Balsamı","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 147","BOMBSHELL","Meyveli & Çiçeksi & Kült","Çarkıfelek Meyvesi, Çilek, Ananas","Şakayık, Vanilya Orkidesi, Kırmızı Meyveler","Beyaz Misk, Meşe Yosunu","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 148","CASSIOPEA","Şipre & Meyveli & Ferah","Çarkıfelek (Passion Fruit), Limon, Cassis, Eğrelti Otu","Karanfil, Vadi Zambağı, Çay Gülü","Sandal Ağacı, Tonka Fasulyesi, Misk","Zarafet, Özgüven ve Feminenlik - Klasik / Minimalist"
"W 149","PINK SUGAR","Gurme & Aşırı Tatlı & Oyunbaz","Pamuk Şeker, Ahududu, Bergamot","Meyan Kökü Çiçeği, Çilek, Zambak","Vanilya, Karamel, Misk, Tonka Fasulyesi","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 15","GUCCI RUSH","Şipre & Meyveli & Kışkırtıcı","Afrika Frezyası, Şeftali, Gardenya","Kişniş, Şam Gülü, Yasemin Sambac","Doğal Paçuli, Vanilya, Vetiver","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 150","GUCCI PREMIERE","Çiçeksi & Odunsu & Hollywood","Bergamot, Afrika Portakal Çiçeği","Beyaz Çiçekler, Misk","Yumuşak Deri, Değerli Odunsu Notalar","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 151","LA VIE EST BELLE","Gurme & Çiçeksi & Neşeli","Siyah Frenk Üzümü, Armut","İris, Yasemin, Portakal Çiçeği","Pralin, Vanilya, Paçuli, Tonka","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 152","IDOLE","Şiirsel Çiçeksi & Temiz & Miskli","Armut, Bergamot, Pembe Biber","Gül, Yasemin","Beyaz Misk, Vanilya, Paçuli, Sedir Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 153","KIRKE","Şipre & Meyveli & Egzotik","Şeftali, Çarkıfelek, Armut, Ahududu, Cassis, Kum","Vadi Zambağı","Misk, Sandal Ağacı, Vanilya, Paçuli, Kediotu","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 154","MANIFESTO","Oryantal & Çiçeksi & Tatlı","Siyah Frenk Üzümü, Yeşil","Yasemin Sambac, Vadi Zambağı","Vanilya, Tonka Fasulyesi, Sandal Ağacı, Sedir Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 155","JUST CAVALLI","Çiçeksi & Narenciyeli & Kremamsı","Neroli","Tiare Çiçeği","Palisander Gül Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 156","L'EAU DE LACOSTE","Çiçeksi & Meyveli & Ferah","Ananas, Mandalina, Bergamot","Portakal Çiçeği, Yasemin Sambac, Ananas Yaprağı","Vanilya, Sandal Ağacı, Vetiver, Peru Balsamı","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 157","OMNIA CORAL","Çiçeksi & Meyveli & Canlı","Goji Dutları, Bergamot","Nar, Hibiskus, Nilüfer","Misk, Sedir Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 158","L'AMBREDES MERVEILLES","Oryantal & Odunsu & Amber","Kehribar (Amber), Labdanum","Paçuli","Vanilya","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 159","SEE BY CHLOE","Çiçeksi & Meyveli & Chic","Elma Çiçeği, Bergamot","Yasemin, Ylang-Ylang","Misk, Vanilya, Sandal Ağacı","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 160","AQUA DI GIOLA ESSENSIA","Sucul & Çiçeksi & Ferah","Nane, Limon, Pembe Biber","Yasemin, Limon Otu","Sedir Ağacı, Labdanum, Şeker","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 161","ARMANI SI","Şipre & Meyveli & Zarif","Frenk Üzümü Yaprağı","Mayıs Gülü, Frezya","Vanilya, Paçuli, Odunsu Notalar, Ambroxan","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 163","Sexy Amber","Oryantal & Odunsu & Sıcak","Amber (Kehribar)","Beyaz Çiçekler","Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 164","BON BON","Çiçeksi & Meyveli & Gurme","Şeftali, Mandalina, Portakal","Karamel, Portakal Çiçeği, Yasemin","Amber, Sandal Ağacı, Sedir Ağacı, Guaiac Odunu","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 165","CHERRY IN THE AIR","Çiçeksi & Meyveli & Tatlı","Ekşi Kiraz, Ahududu, Mandalina","Hatmi (Marshmallow), Gardenya, Orkide, Vanilya","Sandal Ağacı, Misk, Beyaz Süet, Meşe","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 166","VIVA LA JUICE","Çiçeksi & Meyveli & Gurme","Yabani Orman Meyveleri, Mandalina","Hanımeli, Gardenya, Yasemin","Karamel, Vanilya, Pralin, Amber, Sandal Ağacı","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 167","SCENT INTENSE","Oryantal & Odunsu & Yoğun","Çay, Bergamot, Kakule","Ambergris, Yasemin, Hibiskus","Amber, Paçuli, Sandal Ağacı, Deri","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 168","BOOS JOUR","Çiçeksi & Narenciyeli & Ferah","Misket Limonu, Greyfurt Çiçeği","Beyaz Çiçekler, Frezya, Hanımeli, Vadi Zambağı","Huş Ağacı, Amber","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
"W 169","CHANEL EAU FRAICHE","Şipre & Çiçeksi & Ferah","Limon, Sedir Ağacı","Su Sümbülü, Pembe Biber, Yasemin","Paçuli, Beyaz Misk, Vetiver, Tik Ağacı, İris, Amber","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 17","HYPNOTIC POISON","Oryantal & Pudralı & Afrodizyak","Hindistan Cevizi, Erik, Yeni Dünya Kayısısı","Sümbülteber, Yasemin, Vadi Zambağı, Kimyon","Vanilya, Tatlı Badem, Sandal Ağacı, Misk","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 170","CHLOE","Çiçeksi & Pudralı & Romantik","Şakayık, Frezya, Litchi","Gül, Vadi Zambağı, Manolya","Virjinya Sediri, Amber","Zarafet, Özgüven ve Feminenlik - Lüks ve Ağır Cam İşçiliği"
"W 171","MUST DE CARTIER","Oryantal & Klasik & Baharatlı","Galbanum, Gül Ağacı, Aldehitler, Bergamot, Limon, Şeftali, Mandalina","Deri, Nergis, Karanfil, İris, Ylang-Ylang, Yasemin, Orkide","Kehribar (Amber), Sandal Ağacı, Vanilya, Vetiver, Misk, Tonka Fasulyesi","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 172","DONNA VALENTINO ","Şipre & Çiçeksi & Pudralı","Bergamot","İris, Bulgar Gülü","Deri, Vanilya, Paçuli","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 173","ALIEN ESSENSE ABSOLUTE","Oryantal & Odunsu & Yoğun","Yasemin","Kaşmir Ağacı, İris Kökü","Vanilya Podu, Beyaz Amber, Mür, Tütsü","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 174","AURA","Çiçeksi & Oryantal & Aromatik","Ravent Yaprağı, Bergamot","Yeşil Notalar, Portakal Çiçeği, Ylang-Ylang, Armut","Bourbon Vanilya, Odunsu Notalar, Amberwood, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 175","SPORTY SITRUS","Narenciyeli & Ferah & Canlı","Turunçgiller, Portakal","Mandalina, Yasemin","Misk, Paçuli","Ferahlık ve Enerji - Dinamik ve Modern Tasarım"
"W 176","THRILL FOR WOMEN","Çiçeksi & Meyveli & Gurme","Şeftali, Zambak","Mimoza, İris","Vanilya, Tonka Fasulyesi, Sandal Ağacı","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 177","AROMATICS ELIXIR","Şipre & Çiçeksi & Aromatik","Papatya, Aldehitler, Galbanum, Bergamot, Kakule","Gül, Yasemin, Ylang-Ylang, Sümbülteber, Karanfil","Meşe Yosunu, Paçuli, Vetiver, Sandal Ağacı, Misk, Tütsü","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
"W 178","DIORISSIMO","Çiçeksi & Yeşil & Klasik","Yeşil Yapraklar, Bergamot","Vadi Zambağı (Muguet), Lilak, Yasemin, Zambak, Biberiye, Ylang-Ylang","Civet (Misk), Sandal Ağacı","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 179","AURA INTENCE","Oryantal & Çiçeksi & Tatlı","Litchi, Bulgar Gülü","Pembe Biber, Sümbülteber, Tütsü","Amber, Misk, Paçuli, Vanilya","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 180","BLACK OPIUM","Oryantal & Kahveli & Tatlı","Armut, Pembe Biber, Portakal Çiçeği","Kahve, Yasemin, Acı Badem, Meyankökü","Vanilya, Paçuli, Kaşmir Ağacı, Sedir Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 181","ARMANI SI INTENCE","Şipre & Meyveli & Yoğun","Frenk Üzümü, Mandalina, Bergamot, Frezya","Mayıs Gülü, Neroli, Artemisia, Osmanthus","Vanilya, Paçuli, Odunsu Notalar, Ambroxan","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 182","BOSS MA VIE POUR FEMME","Çiçeksi & Ferah & Modern","Kaktüs Çiçeği","Pembe Frezya, Yasemin, Gül","Sedir Ağacı, Odunsu Notalar","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
"W 183","D.K.N.Y. MYNY","Şipre & Meyveli & Modern","Ahududu, Pembe Biber, Galbanum","Mısır Yasemini, Frezya, Kök Süsen","Paçuli, Vanilya, Misk, Kehribar (Amber)","Sıcaklık, Huzur ve Yakınlık - Klasik / Minimalist"
"W 184","LOVE STROY","Çiçeksi & Pudralı & Beyaz Çiçek","Neroli, Armut, Bergamot, Limon, Greyfurt","Portakal Çiçeği, Madagaskar Yasemini, Şeftali, Gül, Siyah Frenk Üzümü","Misk, Sedir Ağacı, Kaşmir Ağacı, Paçuli","Zarafet, Özgüven ve Feminenlik - Zarif ve Feminen Kıvrımlar"
"W 185","ETERNITY NIGHT","Çiçeksi & Kremamsı & Miskli","Pembe Biber, Mürdüm Eriği, Ahududu","Gece Yasemini, Vadi Zambağı, Mor Süsene (İris)","Sandal Ağacı, Tonka Fasulyesi, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 186","LADY MILLION MY GOLD","Çiçeksi & Meyveli & Turunçgilli","Mango, Greyfurt, Greyfurt Çiçeği, Mandalina, Bergamot","Portakal Çiçeği, Menekşe Yaprağı","Greyfurt, Misk, Sedir, Kehribar (Amber)","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 187","MODERN MUSE ","Çiçeksi & Odunsu & Miskli","Mandalina","Yasemin, Zambak, Çiçeksi Notalar, Hanımeli","Misk, Odunsu Notalar, Paçuli, Kehribar, Madagaskar Vanilyası","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 188","EUPHORIA GOLD WOMEN","Çiçeksi & Meyveli & Oryantal","Kayısı, Kumkuat, Mandalina","Bal, Gardenya, Nergis","Yamaç Gülü (Cistus), Sandal Ağacı, Misk","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 189","OMNIA CRYSTALLINE L’EDP","Çiçeksi & Odunsu & Miskli","Nilüfer, Lotus, Mandalina","Kediotu (Heliotrope), Kök Süsen (İris)","Sandal Ağacı, Benzoin, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 19","HOTCOUTURE","Çiçeksi & Baharatlı & Karizmatik","Ahududu, Bergamot, Turunçgil","Manolya, Vetiver, Siyah Biber","Beyaz Amber, Sandal Ağacı, Misk","Otorite, Güven ve Profesyonellik - Zarif ve Feminen Kıvrımlar"
"W 190","VALENTINO ABSOLU","Oryantal & Baharatlı & Gurme","Karabiber","Gül, Erik","Deri, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 191","GUCCI BAMBOO","Çiçeksi & Odunsu & Narenciyeli","Bergamot","Kazablanka Zambağı, Ylang-Ylang, Portakal Çiçeği","Sandal Ağacı, Tahiti Vanilyası, Kehribar (Amber)","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 192","LA NUIT TRESOR","Oryantal & Gurme & Tatlı","Armut, Mandalina, Bergamot","Çilek, Vanilya Orkidesi, Siyah Gül, Çarkıfelek","Pralin, Karamel, Litchi, Silhat (Paçuli), Tütsü, Kahve, Meyankökü, Kumarin, Papirüs","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 193","OLYMPEA","Oryantal & Çiçeksi & Tuzlu Vanilyalı","Su Yasemini, Yeşil Mandalina, Zencefil Çiçeği","Tuzlu Vanilya","Kaşmir Ağacı, Ambergris, Sandal Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 194","ARMANI CODE SATIN","Oryantal & Gurme & Tatlı","Armut, Şerbet, Zencefil","Portakal Çiçeği, Yasemin, Neroli","Kakao, Vanilya, Pralin, Paçuli","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 195","POSION GIRL ","Oryantal & Gurme & Acı Badem","Acı Portakal, Limon","Şam Gülü, Grasse Gülü, Portakal Çiçeği","Vanilya, Tonka Fasulyesi, Sandal Ağacı, Pralin, Kediotu, Cashmeran, Badem","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
